"","ensembl_gene_id","external_gene_name","log2FoldChange.04h_RNA","log2FoldChange.08h_RNA","log2FoldChange.14h_RNA","padj.04h_RNA","padj.08h_RNA","padj.14h_RNA","cluster"
"101","ENSG00000100294","MCAT",-0.434756049423121,-0.429530559352778,-1.40192413059892,0.152860037900688,0.175154118560616,4.03059819714816e-05,"4"
"102","ENSG00000102543","CDADC1",0.181226650156565,0.891235377435915,2.22612608999738,0.629337303414699,0.0065083901954269,1.48341219717238e-13,"3"
"103","ENSG00000182541","LIMK2",-0.545340795039845,-2.035301517805,-2.05151003035933,0.0424459008450344,1.6266078236872e-11,1.21542988130235e-10,"4"
"104","ENSG00000131069","ACSS2",0.00724189764554023,-0.833803958038233,-1.20662768015803,0.987501590587995,0.00038223558254235,1.21655649549066e-06,"4"
"105","ENSG00000185022","MAFF",-1.05933040123339,-0.79301623230115,0.630753420814656,6.90508213320586e-08,3.01368067549381e-05,0.000274925908562809,"3"
"106","ENSG00000168234","TTC39C",-0.234877437263077,-1.20004674203248,-1.02125433919316,0.411561988812,1.10699530044603e-06,4.47862346724087e-05,"4"
"107","ENSG00000169184","MN1",-0.71330593716406,-2.72229072850106,-4.54776633190025,0.0979853438161385,0.000211658169356627,0.000115891000360676,"5"
"108","ENSG00000083520","DIS3",0.428640836720377,2.02871805974276,2.88524372600591,8.29908096752288e-05,2.32227163506196e-102,1.01046451121649e-209,"2"
"109","ENSG00000197046","SIGLEC15",-0.129810750096969,-1.08045507625117,-2.35626476517706,0.748546413698997,0.0140692140551982,4.74105200434956e-05,"4"
"110","ENSG00000128342","LIF",-1.7237975538193,-2.23316515299264,-3.37992934536182,1.89837555360332e-16,1.47584030502257e-23,2.03869187117065e-29,"5"
"111","ENSG00000133103","COG6",0.00638949065622304,-0.484704620400024,-1.32298885281144,0.987697439860802,0.0121673435468004,1.8348732756047e-10,"4"
"112","ENSG00000078804","TP53INP2",0.154471842710211,-0.288832131619742,1.20073010177331,0.629386064169266,0.263151320999601,2.5585355491484e-09,"3"
"113","ENSG00000166845","C18orf54",0.00158015584329076,-1.62515912579465,-2.52786561229361,0.997872184731882,5.28563991301047e-13,8.55526360964551e-20,"4"
"114","ENSG00000171456","ASXL1",-0.545045773395527,-1.84098569481784,-1.9950034307587,0.000167849095321397,2.16643123593421e-33,3.19605323072927e-34,"4"
"115","ENSG00000183943","PRKX",-0.43454901245211,-1.58258192061088,-0.504154489393592,0.012136582483529,3.46762918743018e-19,0.00244486610283834,"4"
"116","ENSG00000102802","MEDAG",-0.990179863724507,-2.98592221923377,-5.72702510327296,5.06112724815715e-05,1.48139389364671e-21,1.52289006814457e-14,"5"
"117","ENSG00000160305","DIP2A",-0.349471738861462,-1.02286986858983,-1.58794374134434,0.0933538404149102,7.6862005554179e-08,5.59208258649511e-14,"4"
"118","ENSG00000067900","ROCK1",0.352915234920057,1.90495449709863,3.01970032054531,9.32968473832711e-05,2.13502772832247e-134,0,"2"
"119","ENSG00000100242","SUN2",-0.124959142289188,-0.41246656496172,-1.05973980221612,0.532807793057342,0.00147154389171414,5.33197633478278e-15,"4"
"120","ENSG00000101384","JAG1",0.520787465277183,1.54376767524423,1.76893918772523,0.00458498905507704,4.9386569074136e-22,1.54118297400476e-28,"3"
"121","ENSG00000152240","HAUS1",0.232447193083762,-0.4001492862123,-1.90167566406201,0.340429911035742,0.0577086232181194,4.7897477523885e-14,"4"
"122","ENSG00000133121","STARD13",-0.209604859539611,-2.1578444537094,-3.72555599340133,0.196192546455487,2.74071657137281e-55,1.53216797713142e-79,"5"
"123","ENSG00000176641","RNF152",1.41158021892672,2.49044010979867,4.06118644876486,6.713975173826e-30,5.45671047816827e-101,1.61067114434715e-283,"2"
"124","ENSG00000166510","CCDC68",0.123741015152335,0.718871516501542,3.15804141652988,0.36598239755037,0.196162919643286,0.00674602050741243,"3"
"125","ENSG00000184226","PCDH9",1.03751309813144,1.76131342020116,1.45177050521814,2.30599861298658e-57,1.1638305189179e-167,2.20933185125293e-112,"3"
"126","ENSG00000146950","SHROOM2",-0.647327406857343,-3.59503789985588,-4.67441229460644,0.000729185084229725,2.21563934378264e-38,1.09138781529052e-30,"5"
"127","ENSG00000041353","RAB27B",3.45936132971873,6.09282104189816,5.03104901575292,1.30240395780287e-20,8.68184813128821e-67,2.34676093125108e-45,"1"
"128","ENSG00000160299","PCNT",-0.285607570451984,-1.21715306173477,0.115535234300591,0.0776328601416335,7.52599106002943e-17,0.451347694555366,"4"
"129","ENSG00000101310","SEC23B",-0.025301571516525,0.584810405717843,1.03374112587361,0.933305512058715,1.04881500015574e-07,1.73259880879575e-22,"3"
"130","ENSG00000100344","PNPLA3",-0.899122628548356,-2.93086752603333,-2.16328506482333,0.00125901024953843,8.04942016534274e-16,6.86933882840971e-11,"5"
"131","ENSG00000102580","DNAJC3",0.248088633148791,1.41334691731382,2.04816388884103,0.0144756760247187,1.08944172902198e-68,2.12687130958983e-145,"3"
"132","ENSG00000283199","C13orf46",1.28473841936587,3.57742490855416,0.432506044114982,0.00927186747908209,6.094728226336e-15,0.414536377112586,"3"
"133","ENSG00000157551","KCNJ15",-1.06717481049952,-4.34654208117942,-8.03375698026851,0.00655183543449917,1.8016547136949e-09,5.48138663206692e-09,"5"
"134","ENSG00000177138","FAM9B",0.070174907364949,2.04477639014246,3.59109339209939,0.71162449711494,0.0334546874455172,0.00108740835824351,"2"
"135","ENSG00000091164","TXNL1",-0.162723156535625,0.507462942279706,1.29077313703515,0.285316996138096,8.41063719833263e-07,9.12132120224279e-41,"3"
"136","ENSG00000166897","ELFN2",-0.0158989082281873,-2.11907306152388,-4.41332161961588,0.97712340189487,9.59092136794332e-07,3.23240830048057e-07,"5"
"137","ENSG00000054611","TBC1D22A",0.0852783965732807,-0.530834376369145,-1.41543389693572,0.776650387214946,0.00152601163368155,1.88429548198088e-14,"4"
"138","ENSG00000134030","CTIF",-0.28766932563968,-1.97464422993532,-2.78936532034267,0.145387889291124,4.02406218899292e-26,1.66490021692287e-34,"5"
"139","ENSG00000004961","HCCS",0.138939328009242,0.70675355359443,1.30674092165578,0.598664002149565,7.37492935499358e-06,3.21726000385535e-18,"3"
"140","ENSG00000132950","ZMYM5",0.884974323373821,1.82460554615973,3.27790196817053,8.47144417023328e-06,2.96645030269325e-24,1.99196041416378e-82,"2"
